"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\custom-attribute\custom-attribute.component.scss", "SCSS", 0, 0, 35, 2, 4, 41
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\custom-attribute\custom-attribute.component.ts", "TypeScript", 82, 0, 0, 1, 13, 96
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\import-category-via-excel\import-category-via-excel.component.html", "HTML", 0, 111, 0, 3, 5, 119
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\import-category-via-excel\import-category-via-excel.component.scss", "SCSS", 0, 0, 17, 0, 1, 18
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\import-category-via-excel\import-category-via-excel.component.ts", "TypeScript", 83, 0, 0, 0, 11, 94
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\inventory-listing\inventory-listing.component.html", "HTML", 0, 106, 0, 6, 5, 117
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\inventory-listing\inventory-listing.component.scss", "SCSS", 0, 0, 429, 17, 101, 547
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\inventory-listing\inventory-listing.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\inventory-listing\inventory-listing.component.ts", "TypeScript", 170, 0, 0, 0, 14, 184
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\manage-product\manage-product.component.html", "HTML", 0, 143, 0, 13, 8, 164
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\manage-product\manage-product.component.scss", "SCSS", 0, 0, 129, 2, 26, 157
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\manage-product\manage-product.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\manage-product\manage-product.component.ts", "TypeScript", 258, 0, 0, 16, 29, 303
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\product-insights\product-insights.component.html", "HTML", 0, 200, 0, 37, 30, 267
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\product-insights\product-insights.component.scss", "SCSS", 0, 0, 89, 5, 16, 110
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\product-insights\product-insights.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\product-insights\product-insights.component.ts", "TypeScript", 813, 0, 0, 4, 36, 853
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\product\product.component.html", "HTML", 0, 489, 0, 148, 69, 706
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\product\product.component.scss", "SCSS", 0, 0, 26, 1, 2, 29
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\product\product.component.ts", "TypeScript", 714, 0, 0, 20, 49, 783
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\productorderlistbysupplier\productorderlistbysupplier.component.html", "HTML", 0, 160, 0, 5, 6, 171
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\productorderlistbysupplier\productorderlistbysupplier.component.scss", "SCSS", 0, 0, 109, 2, 21, 132
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\productorderlistbysupplier\productorderlistbysupplier.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
